name,ID,ALIGN,EYE,HAIR,SEX,ALIVE,APPEARANCES,Year
Karolina Dean (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,86,2003
Bastion (Earth-616),Secret Identity,Bad Characters,Hazel Eyes,White Hair,Male Characters,Deceased Characters,85,1996
Kull (Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Male Characters,Living Characters,84,1970
Satana Hellstrom (Earth-616),No Dual Identity,Bad Characters,Red Eyes,Red Hair,Female Characters,Living Characters,84,1973
Laynia Petrovna (Earth-616),Secret Identity,Good Characters,Brown Eyes,Blond Hair,Female Characters,Living Characters,84,1976
Night Raven (Vigilante) (Earth-616),Secret Identity,Good Characters,Grey Eyes,Bald,Male Characters,Living Characters,84,1979
Kavita Rao (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,84,2004
Danielle Cage (Earth-616),No Dual Identity,Good Characters,Green Eyes,Black Hair,Female Characters,Living Characters,84,2006
Frederick Foswell (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,83,1964
John Greycrow (Earth-616),Secret Identity,Neutral Characters,Grey Eyes,Black Hair,Male Characters,Living Characters,83,1986
Michael Duffy (Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,Deceased Characters,82,1941
Eric Koenig (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,82,1966
Zheng Zu (Earth-616),Secret Identity,Bad Characters,Green Eyes,Black Hair,Male Characters,Deceased Characters,82,1973
Keniuchio Harada (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,82,1974
Irene Adler (Earth-616),Secret Identity,Neutral Characters,White Eyes,Silver Hair,Female Characters,Deceased Characters,82,1981
Marrina Smallwood (Earth-616),Secret Identity,Good Characters,Black Eyes,Green Hair,Female Characters,Living Characters,82,1983
Fred Davis Jr. (Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Deceased Characters,81,1945
Zelda DuBois (Earth-616),Public Identity,Bad Characters,Green Eyes,Auburn Hair,Female Characters,Living Characters,81,1965
Beyonder (Earth-616),Secret Identity,Neutral Characters,Variable Eyes,Variable Hair,Male Characters,Living Characters,81,1984
Roxanne Washington (Earth-616),Secret Identity,,,,Female Characters,Living Characters,81,2005
Bonita Juarez (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,80,1981
Surtur (Earth-616),No Dual Identity,Bad Characters,Yellow Eyes,Red Hair,Male Characters,Deceased Characters,79,1963
Stranger (Cosmic Being) (Earth-616),Secret Identity,Neutral Characters,White Eyes,White Hair,Male Characters,Living Characters,79,1965
Brandy Clark (Earth-616),Public Identity,Good Characters,,Brown Hair,Female Characters,Living Characters,79,1979
Lillian Crawley (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,Deceased Characters,79,1983
Ichabod (Earth-616),Secret Identity,Good Characters,,White Hair,Male Characters,Living Characters,78,1948
Russell Collins (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Deceased Characters,78,1986
Michael Badilino (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,78,1992
Helen Takahama (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,78,1997
En Sabah Nur (Evan Sabahnur) (Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Male Characters,Living Characters,78,2011
Dai Thomas (Earth-616),Public Identity,,,Brown Hair,Male Characters,Living Characters,77,1975
Maria Callasantos (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,Deceased Characters,77,1991
Sally Avril (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Deceased Characters,76,1962
Ebenezer Laughton (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,76,1964
Pluto (Olympian) (Earth-616),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Male Characters,Deceased Characters,76,1966
Arnim Zola (Earth-616),No Dual Identity,Bad Characters,,No Hair,Male Characters,Living Characters,76,1977
Mariko Yashida (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Deceased Characters,76,1979
Dallas Riordan (Earth-616),Secret Identity,Good Characters,Blue Eyes,Red Hair,Female Characters,Living Characters,76,1997
Hannibal King (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,75,1974
Thomas Cassidy (Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,75,1976
Kara Killgrave (Earth-616),Secret Identity,Good Characters,Purple Eyes,Black Hair,Female Characters,Living Characters,75,1986
Jess\u00e1n Hoan (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,75,1988
Daisy Johnson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,75,2004
John Horton (Earth-616),Public Identity,Bad Characters,Yellow Eyes,Yellow Hair,Male Characters,Living Characters,74,1972
Cecilia Reyes (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,74,1997
Barnell Bohusk (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,74,2001
Victor Mancha (Earth-616),No Dual Identity,Good Characters,Green Eyes,Brown Hair,Male Characters,Living Characters,74,2005
Awesome Android (Earth-616),No Dual Identity,Neutral Characters,,No Hair,Male Characters,Living Characters,73,1963
Samuel Smithers (Earth-616),Public Identity,Bad Characters,Green Eyes,Grey Hair,Male Characters,Living Characters,73,1963
Wilbur Day (Earth-616),Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,73,1965
Silvio Manfredi (Earth-616),Public Identity,Bad Characters,Blue Eyes,Silver Hair,Male Characters,Living Characters,73,1969
Richard Fisk (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,73,1970
Edward Whelan (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,73,1982
Donald Gill (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Blue Hair,Male Characters,Living Characters,73,1987
Alani Ryan (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,73,2004
Aarkus (Earth-616),Secret Identity,Good Characters,White Eyes,No Hair,Male Characters,Living Characters,72,1940
Aloysius Kare (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,72,1950
Ringo Kid (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,72,1954
Maynard Tiboldt (Earth-616),Public Identity,,Green Eyes,Black Hair,Male Characters,Living Characters,72,1962
Esteban Coraz\u00f3n de Ablo (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,72,1964
Marvin Flumm (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,72,1966
Nathaniel Richards (Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Grey Hair,Male Characters,Living Characters,72,1984
Kathryn Cushing (Earth-616),,,Blue Eyes,Blond Hair,Female Characters,Living Characters,72,1985
Cameron Hodge (Earth-616),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,72,1986
Alistaire Stuart (Earth-616),No Dual Identity,,Variable Eyes,Variable Hair,Male Characters,Living Characters,72,1989
Stacy Dolan (Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,72,1990
Sleepwalker (Earth-616),Secret Identity,Good Characters,Red Eyes,No Hair,Male Characters,Living Characters,72,1991
Ben Hamill (Earth-616),Secret Identity,Good Characters,,,Male Characters,Living Characters,72,2004
Ivan Kragoff (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,Living Characters,71,1963
Marco Scarlotti (Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,71,1968
Jennifer Takeda (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,71,2010
Broo (Earth-616),Secret Identity,Good Characters,,No Hair,Male Characters,Living Characters,71,2011
Robert Grayson (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,70,1950
Boris Bullski (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,70,1965
Maximillian Coleridge (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,70,1976
Oracle (Sybil) (Earth-616),Public Identity,Good Characters,Pink Eyes,Blond Hair,Female Characters,Living Characters,70,1977
Hope Abbott (Earth-616),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Female Characters,Living Characters,70,2005
"Nicholas Fury, Jr. (Earth-616)",No Dual Identity,Good Characters,One Eye,Bald,Male Characters,Living Characters,70,2012
Fin Fang Foom (Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,Male Characters,Living Characters,69,1961
Shalla-Bal (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,69,1968
Samuel Saxon (Earth-616),Public Identity,Bad Characters,Brown Eyes,Bald,Male Characters,Living Characters,69,1969
Jean DeWolff (Earth-616),Public Identity,Good Characters,Green Eyes,Blond Hair,Female Characters,Deceased Characters,69,1976
Blanche Sitznski (Earth-616),Secret Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,Living Characters,69,1980
Tanya Sealy (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Black Hair,Female Characters,Living Characters,69,1980
Joy Mercado (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,69,1983
Bennet du Paris (Earth-616),Secret Identity,Bad Characters,White Eyes,Black Hair,Male Characters,Living Characters,69,1993
Martha Franklin (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,69,1998
Bentley Wittman (Clone) (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,69,2009
Rachel van Helsing (Earth-616),Public Identity,,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,68,1972
Jerome Beechman (Earth-616),Public Identity,Bad Characters,Black Eyes,Brown Hair,Male Characters,Living Characters,68,1973
Tyros (Earth-616),Public Identity,Bad Characters,Grey Eyes,No Hair,Male Characters,Deceased Characters,68,1979
Yukio (Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,68,1982
Lila Cheney (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,68,1984
Thomas Fireheart (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Black Hair,Male Characters,Living Characters,68,1984
Everett Ross (Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,Living Characters,68,1998
Criti Noll (Clone) (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Female Characters,Deceased Characters,68,2006
Kenneth Hale (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,67,1954
Korg (Earth-616),No Dual Identity,Good Characters,Black Eyes,No Hair,Male Characters,Living Characters,67,1962
Mark Raxton (Earth-616),Public Identity,Good Characters,Hazel Eyes,Blond Hair,Male Characters,Living Characters,67,1965
Calvin Rankin (Earth-616),,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,67,1966
Basil Sandhurst (Earth-616),Secret Identity,Bad Characters,White Eyes,Black Hair,Male Characters,Living Characters,67,1969
Hobie Brown (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,67,1969
Topaz (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,67,1974
Shadow King (Earth-616),,Bad Characters,Red Eyes,No Hair,Male Characters,Living Characters,67,1979
William Cross (Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,Living Characters,67,1979
Lance Bannon (Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,67,1980
Rita DeMara (Earth-616),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,Living Characters,67,1986
Tong (Moloid) (Earth-616),Secret Identity,Good Characters,,No Hair,Female Characters,Living Characters,67,2010
Romulus Augustulus (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Male Characters,Living Characters,66,1963
Super-Adaptoid (Earth-616),Secret Identity,Bad Characters,Black Eyes,No Hair,Male Characters,Living Characters,66,1966
John Proudstar (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,66,1975
Christoph Nord (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,66,1992
Maya Lopez (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Deceased Characters,66,1999
Old Lace (Earth-616),No Dual Identity,Good Characters,Red Eyes,No Hair,Female Characters,Living Characters,66,2003
Humberto Lopez (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,66,2009
Morgan le Fay (Earth-616),No Dual Identity,Bad Characters,Green Eyes,Purple Hair,Female Characters,Living Characters,65,1955
Luchino Nefaria (Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,65,1965
Jennifer Kale (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Deceased Characters,65,1972
Douglas Scott (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Living Characters,65,1981
Ashley Kafka (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,65,1991
Robert Herman (Earth-616),Secret Identity,Neutral Characters,,No Hair,Male Characters,Living Characters,65,2001
Shuri (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,65,2005
Justin Hammer (Earth-616),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Male Characters,Deceased Characters,64,1979
Michael Steel (Earth-616),Secret Identity,Bad Characters,White Eyes,No Hair,Male Characters,Living Characters,64,1980
Kristoff Vernard (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,64,1982
Gateway (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,64,1988
Lily Hollister (Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,64,2008
Tyr Odinson (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,63,1962
Krang (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,63,1963
Zebediah Killgrave (Earth-616),Public Identity,Bad Characters,Purple Eyes,Purple Hair,Male Characters,Living Characters,63,1964
En Dwi Gast (Earth-616),Secret Identity,Bad Characters,Red Eyes,White Hair,Male Characters,Living Characters,63,1969
Arthur Stacy (Earth-616),,Good Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,63,1971
David Griffith (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,63,1972
Franklin Hall (Earth-616),Public Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,Living Characters,63,1977
Microtron (Earth-616),,,,,,Living Characters,63,1979
Sara Wolfe (Earth-616),Public Identity,Good Characters,,Black Hair,Female Characters,Living Characters,63,1979
Simon Utrecht (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,Living Characters,63,1980
Vertigo (Savage Land Mutate) (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Green Hair,Female Characters,Deceased Characters,63,1982
Armando Mu\u00f1oz (Earth-616),Secret Identity,Good Characters,White Eyes,No Hair,Male Characters,Living Characters,63,2006
Jeanne Foucault (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,63,2010
Bruno Horgan (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,62,1963
Owen Reece (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,Deceased Characters,62,1963
Phineas Mason (Earth-616),Public Identity,Neutral Characters,Grey Eyes,White Hair,Male Characters,Living Characters,62,1963
Man-Beast (Earth-616),Secret Identity,Bad Characters,Red Eyes,Brown Hair,Male Characters,Living Characters,62,1966
Candace Southern (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,62,1967
Heather Glenn (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,62,1975
Rintrah (Earth-616),Secret Identity,Good Characters,Brown Eyes,Green Hair,Male Characters,Living Characters,62,1986
Kevin Masterson (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,62,1988
Arkady Rossovich (Earth-616),Secret Identity,Bad Characters,Red Eyes,Blond Hair,Male Characters,Deceased Characters,62,1992
Karima Shapandar (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,62,2000
Norah Winters (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,62,2008
Brandon Sharpe (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,62,2010
Plan Chu (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Male Characters,Deceased Characters,61,1956
William Connors (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,61,1963
Modred (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Silver Hair,Male Characters,Living Characters,61,1975
James Darnell (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,61,1980
Carnage (Symbiote) (Earth-616),Public Identity,Bad Characters,White Eyes,No Hair,Agender Characters,Living Characters,61,1992
Venus (Siren) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,61,2006
Lance Temple (Outlaw Kid) (Earth-616),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,60,1954
Impossible Man (Earth-616),No Dual Identity,Neutral Characters,Purple Eyes,No Hair,Male Characters,Living Characters,60,1963
Robert Hunter (Earth-616),Public Identity,Bad Characters,Blue Eyes,White Hair,Male Characters,Living Characters,60,1974
Onslaught (Psychic Entity) (Earth-616),Secret Identity,Bad Characters,Red Eyes,No Hair,Male Characters,Living Characters,60,1996
Irene Merryweather (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,60,1997
E.V.A. (Earth-616),Secret Identity,Good Characters,,No Hair,Female Characters,Living Characters,60,2002
Mik (Moloid) (Earth-616),Secret Identity,Good Characters,,No Hair,Male Characters,Living Characters,60,2010
Kro (Earth-616),Secret Identity,Bad Characters,Red Eyes,Bald,Male Characters,Living Characters,59,1940
Toni Turner (Earth-616),Public Identity,,Black Eyes,Black Hair,Female Characters,Living Characters,59,1962
Melvin Potter (Earth-616),Public Identity,,Blue Eyes,Bald,Male Characters,Living Characters,59,1966
Billy Russo (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,59,1976
Anath-Na Mut (Earth-616),Secret Identity,Bad Characters,Red Eyes,Bald,Male Characters,Living Characters,59,1977
Gilgamesh (Earth-616),Secret Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,Living Characters,59,1977
Rebecca Blake (Earth-616),Public Identity,Neutral Characters,,Auburn Hair,Female Characters,Living Characters,59,1978
Biotron (Earth-616),No Dual Identity,Good Characters,,,Male Characters,Living Characters,59,1979
Ruth Bat-Seraph (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,59,1980
Sofia Mantega (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Living Characters,59,2003
Nezhno Abidemi (Earth-616),Secret Identity,Good Characters,Blue Eyes,Bald,Male Characters,Living Characters,59,2006
Thomas Shepherd (Earth-616),Secret Identity,Good Characters,Green Eyes,White Hair,Male Characters,Living Characters,59,2006
Ken Mack (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,59,2010
Turg (Moloid) (Earth-616),Secret Identity,Good Characters,,No Hair,Male Characters,Living Characters,59,2010
Ivan Petrovitch (Earth-616),Public Identity,,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,58,1970
Robert Diamond (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,58,1974
Debra Whitman (Earth-616),No Dual Identity,,Green Eyes,Blond Hair,Female Characters,Living Characters,58,1979
Cassandra Webb (Earth-616),Public Identity,Good Characters,Grey Eyes,Black Hair,Female Characters,Deceased Characters,58,1980
Claudette and Nicole St. Croix (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,58,1994
Greg Willis (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,58,2005
Korr (Moloid) (Earth-616),Secret Identity,Good Characters,,No Hair,,Living Characters,58,2010
Daniel Brito (Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,57,1964
Jackson Brice (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,57,1964
Quincy Harker (Earth-616),No Dual Identity,Good Characters,Blue Eyes,White Hair,Male Characters,Deceased Characters,57,1973
Duvid Fortunov (Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,57,1975
Philippa Sontag (Earth-616),Secret Identity,Bad Characters,Violet Eyes,Black Hair,Female Characters,Living Characters,57,1986
Laurie Tromette (Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Female Characters,Living Characters,57,2010
Max Modell (Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,57,2011
Arthur Pendragon (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,Living Characters,56,1944
Hera Argeia (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,Living Characters,56,1949
Johann Fennhoff (Earth-616),Public Identity,Bad Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,56,1968
Mesmero (Vincent) (Earth-616),Secret Identity,Neutral Characters,Green Eyes,Brown Hair,Male Characters,Living Characters,56,1968
Martha Robertson (Earth-616),No Dual Identity,Good Characters,,Black Hair,Female Characters,Living Characters,56,1969
James Braddock Jr. (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,56,1976
Ayesha (Earth-616),Secret Identity,,White Eyes,Blond Hair,Female Characters,Living Characters,56,1977
Nebula (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Bald,Female Characters,Living Characters,56,1985
Blackout (Lilin) (Earth-616),Secret Identity,Bad Characters,Red Eyes,White Hair,Male Characters,Living Characters,56,1990
Garrison Kane (Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,Deceased Characters,56,1991
Phyla-Vell (Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Female Characters,Deceased Characters,56,2004
Vil (Earth-616),Secret Identity,Neutral Characters,,No Hair,Female Characters,Living Characters,56,2010
Eliot Franklin (Clown) (Earth-616),Public Identity,,Brown Eyes,Brown Hair,Male Characters,Living Characters,55,1962
Psycho-Man (Earth-616),Secret Identity,Bad Characters,Yellow Eyes,,Male Characters,Living Characters,55,1967
Humanoid Experimental Robot B-Type Integrated Electronics (Earth-616),Secret Identity,Good Characters,Yellow Eyes,No Hair,Male Characters,Living Characters,55,1979
Cleo Nefertiti (Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,Living Characters,55,1985
Fen (Earth-616),No Dual Identity,Good Characters,Green Eyes,Auburn Hair,Female Characters,Living Characters,55,
Martha Connors (Earth-616),Public Identity,,Blue Eyes,Red Hair,Female Characters,Deceased Characters,54,1963
Stan Lee (Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,54,1963
Athena Parthenos (Earth-616),No Dual Identity,Neutral Characters,,Black Hair,Female Characters,Deceased Characters,54,1969
Hector Ayala (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Deceased Characters,54,1975
Blake Tower (Earth-616),No Dual Identity,Good Characters,,Blond Hair,Male Characters,Living Characters,54,1976
Dimitri Bukharin (Earth-616),Secret Identity,,Brown Eyes,Bald,Male Characters,Living Characters,54,1978
Captain Universe (Earth-616),Secret Identity,Good Characters,Variable Eyes,Variable Hair,Agender Characters,Living Characters,54,1979
Mister Negative (Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,54,2007
William Lumpkin (Earth-616),Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,Living Characters,53,1963
Ego (Earth-616),No Dual Identity,,,No Hair,Male Characters,Living Characters,53,1966
Bova Ayrshire (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,Deceased Characters,53,1974
Seth (Earth-616),No Dual Identity,Bad Characters,Brown Eyes,Red Hair,Male Characters,Living Characters,53,1975
Brian Falsworth (Earth-616),Secret Identity,,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,53,1977
Nikolai Krylenko (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Red Hair,Male Characters,Living Characters,53,1978
Valinor (Earth-616),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,53,1979
Ann Darnell (Earth-616),Secret Identity,,Green Eyes,Brown Hair,Female Characters,Living Characters,53,1980
Alexander Pierce (Earth-616),,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,53,1988
Kayla Ballantine (Earth-616),Public Identity,Good Characters,,Strawberry Blond Hair,Female Characters,Living Characters,53,1989
Vanessa Carlysle (Earth-616),Secret Identity,Neutral Characters,Red Eyes,White Hair,Female Characters,Living Characters,53,1991
Donyell Taylor (Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,53,1993
Ken Ellis (Earth-616),Public Identity,,Brown Eyes,Brown Hair,Male Characters,Living Characters,53,1994
Teon Macik (Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,Living Characters,53,2010
Wu (Earth-616),Secret Identity,Neutral Characters,,No Hair,Male Characters,Living Characters,53,2010
Eva Bell (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Living Characters,53,2013
Zuras (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,Deceased Characters,52,1940
Kevin Marlow (Earth-616),Secret Identity,,Blue Eyes,Blond Hair,Male Characters,Living Characters,52,1941
Steven Rogers (William Burnside) (Earth-616),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,Living Characters,52,1953
Space Phantom (Earth-616),,,Black Eyes,Brown Hair,Male Characters,Living Characters,52,1963
Tana Nile (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,Deceased Characters,52,1966
Turk Barrett (Earth-616),Public Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,Living Characters,52,1970
